Platform: RM-RYEGRASS

RM-RYEGRASS (20 runs)				original sequential	dot_sparse_dense	ewise_or_sp_d_v1	ewise_or_sp_d_v2					
Function                      	w.nvals	chsum	min	avg	max	min	avg	max	min	avg	max	min	avg	max			
w := A+.*u                    	3289	5104	287157	294034	322691	3847	4691.95	8343	3911	4760.3	7775	3842	4727.4	7822			
w := w + A+.*u                	3289	10208	291907	299746	311358	4285	5116.75	8858	4127	4805.55	6951	4111	4797.15	7936			
w<m,merge> := A+.*u           	3289	9460	293119	313493	365789	5050	6043.35	9203	5138	6158.35	10274	5080	6049.2	9373			
w<m,replace> := A+.*u         	485	748	338272	345883	353495	4636	5381.15	7130	4538	5434.1	8612	4627	5480.15	8378			
w<m,merge> := w + A+.*u       	485	1496	333559	390513	470073	4720	5830.6	9432	4747	5680.5	7559	4943	6455	8570			
w<m,replace> := w + A+.*u     	485	2244	291782	315866	374132	4766	5523.55	8016	4719	5457	8703	4640	5582.9	7230			
w<!m,merge> := A+.*u          	3289	6600	297061	303265	326453	7428	8257.1	11850	7256	8083.55	11880	7457	8385.15	13595			
w<!m,replace> := A+.*u        	2804	4356	295250	314133	373686	7287	8238.85	11593	7017	7896.85	11060	7185	8246.6	12649			
w<!m,merge> := w + A+.*u      	2804	8712	295008	301850	318237	7896	9394.5	12436	8014	8833.6	12753	7574	8943.35	12169			
w<!m,replace> := w + A+.*u    	2804	13068	296704	304322	334919	7536	8587.3	12070	7661	8842.95	12228	7623	8454.4	12121			
w<s(m),merge> := A+.*u        	3289	13816	294903	297501	306530	5122	5987.7	8103	5164	6192.05	8945	5251	6117.55	8621			
w<s(m),replace> := A+.*u      	485	748	292710	297509	306443	4797	5531.55	7710	4725	5772.05	9770	4795	5809.35	9473			
w<s(m),merge> := w + A+.*u    	485	1496	293793	299452	303959	5092	6001.05	8953	4916	5824.85	10737	4835	5875.7	10054			
w<s(m),replace> := w + A+.*u  	485	2244	292674	297663	303606	5013	6024.15	8117	5011	5713.1	7325	4916	5992.55	8870			
w<!s(m),merge> := A+.*u       	3289	6600	295052	300815	307491	7245	8650.75	11867	7147	8184.95	11955	7481	8240.55	11721			
w<!s(m),replace> := A+.*u     	2804	4356	295802	306156	333930	7291	8168.3	11219	7272	8066	12070	7366	8162.8	12668			
w<!s(m),merge> := w + A+.*u   	2804	8712	298583	303164	318757	7896	9417.2	15463	7624	8509	11650	8027	8853.75	10823			
w<!s(m),replace> := w + A+.*u 	2804	13068	292568	301399	309286	7487	8561.3	12396	7476	8619.7	11561	7599	8535.15	11533			
